Potencia_CV,Consumo_Cidade_KmL,Consumo_Estrada_KmL,Preco_R$,Tipo_Cambio,Combustivel
168.9,30.0,38.6,69044.23,Automático,Híbrido
113.6,30.0,38.2,53143.79,Automático,Gasolina
108.2,30.0,35.6,48024.81,Automático,Gasolina
228.8,30.0,38.8,84340.84,Manual,Flex
261.4,27.7,35.9,99145.58,Automático,Gasolina
175.7,30.0,36.4,80702.69,Manual,Flex
240.2,30.0,37.6,106837.12,Automático,Flex
201.7,30.0,38.5,75071.24,Manual,Flex
141.3,30.0,37.2,82898.93,Automático,Diesel
201.7,30.0,39.1,77576.53,Manual,Gasolina
272.3,30.0,41.0,109155.15,Automático,Flex
177.9,30.0,36.3,79183.87,Automático,Flex
273.9,30.0,35.4,115567.79,Automático,Flex
75.0,30.0,38.0,58391.47,Automático,Flex
229.3,30.0,38.6,87012.99,Automático,Gasolina
185.2,30.0,37.2,87383.0,Automático,Flex
162.1,30.0,39.7,61132.87,Automático,Gasolina
185.5,30.0,35.5,80136.16,Manual,Híbrido
75.0,30.0,38.5,42797.09,Automático,Gasolina
166.8,30.0,36.6,72710.34,Automático,Flex
201.4,30.0,40.1,76407.1,Manual,Gasolina
268.7,30.0,40.5,117674.85,Automático,Gasolina
148.9,30.0,36.4,56965.88,Automático,Flex
131.5,30.0,36.7,49572.9,Automático,Diesel
149.9,30.0,38.8,68102.63,Manual,Flex
234.9,27.7,34.1,92578.01,Manual,Híbrido
199.7,30.0,37.4,91815.02,Manual,Flex
148.2,30.0,37.5,59710.34,Automático,Flex
210.8,28.0,32.1,79420.58,Manual,Gasolina
185.8,30.0,37.5,86144.52,Automático,Diesel
238.1,30.0,36.5,94302.42,Automático,Gasolina
137.9,30.0,36.8,53354.17,Automático,Diesel
160.3,30.0,39.7,71862.48,Automático,Híbrido
156.5,30.0,35.6,64921.98,Automático,Híbrido
92.2,30.0,38.7,44537.5,Automático,Flex
197.8,30.0,37.1,78397.04,Automático,Flex
195.7,30.0,37.1,89126.07,Automático,Flex
180.3,30.0,38.7,83801.26,Manual,Gasolina
165.9,30.0,38.0,73431.36,Automático,Flex
95.1,30.0,38.4,37391.02,Manual,Gasolina
154.8,30.0,39.0,75420.88,Automático,Flex
159.4,30.0,37.0,69920.36,Manual,Gasolina
131.9,30.0,36.6,61093.2,Automático,Gasolina
170.3,30.0,35.9,67122.59,Automático,Gasolina
204.2,30.0,36.3,95627.85,Automático,Flex
293.2,30.0,41.9,118533.27,Automático,Flex
190.5,30.0,39.4,70860.62,Manual,Gasolina
195.5,30.0,35.5,76647.3,Automático,Flex
175.5,30.0,35.5,86185.62,Automático,Gasolina
75.0,30.0,38.2,29733.47,Manual,Flex
178.4,30.0,38.3,97992.55,Automático,Flex
183.6,30.0,38.3,78633.04,Automático,Flex
327.8,30.0,37.1,127707.87,Automático,Flex
168.5,30.0,37.3,65115.19,Automático,Gasolina
198.1,30.0,38.0,75193.22,Automático,Flex
177.9,30.0,37.6,93754.22,Automático,Flex
109.9,30.0,34.2,44999.86,Manual,Flex
248.6,30.0,37.2,104938.31,Automático,Flex
225.1,30.0,36.2,86784.87,Automático,Gasolina
227.5,30.0,37.8,84111.23,Automático,Flex
125.4,30.0,42.0,47010.59,Manual,Flex
264.2,30.0,38.1,103316.95,Manual,Gasolina
95.9,30.0,37.0,73766.41,Automático,Gasolina
215.2,30.0,38.9,82930.65,Manual,Gasolina
311.4,23.5,30.1,119017.77,Automático,Híbrido
120.6,30.0,38.1,49416.08,Automático,Flex
146.0,30.0,38.4,61458.78,Automático,Gasolina
186.0,30.0,40.6,73902.74,Automático,Gasolina
149.8,30.0,35.8,76622.53,Automático,Flex
87.0,30.0,38.2,40478.57,Manual,Diesel
184.1,30.0,36.1,74527.67,Automático,Gasolina
116.3,30.0,38.3,45180.93,Manual,Gasolina
208.4,30.0,36.1,116538.81,Automático,Diesel
124.8,30.0,36.9,49568.55,Automático,Gasolina
273.0,30.0,37.1,99310.57,Automático,Gasolina
133.0,30.0,39.0,60432.75,Automático,Híbrido
160.7,30.0,38.9,68284.44,Automático,Flex
228.8,30.0,35.6,88447.79,Automático,Gasolina
106.1,30.0,37.6,45636.99,Automático,Gasolina
193.6,30.0,36.4,86150.8,Automático,Gasolina
258.4,30.0,35.6,95627.98,Manual,Gasolina
83.6,30.0,37.2,49404.92,Automático,Diesel
191.1,30.0,37.0,80339.8,Automático,Flex
195.6,30.0,41.1,76887.06,Automático,Flex
226.9,29.2,37.1,88863.77,Manual,Híbrido
105.8,30.0,35.4,42989.88,Manual,Flex
100.8,30.0,36.7,52218.29,Automático,Gasolina
211.3,30.0,39.0,84153.11,Automático,Flex
197.8,30.0,40.6,76105.88,Automático,Híbrido
195.0,30.0,35.1,80324.99,Manual,Diesel
200.8,29.6,34.1,128025.37,Automático,Gasolina
139.2,30.0,40.3,57433.42,Automático,Flex
193.9,30.0,38.1,96221.41,Automático,Flex
197.6,30.0,36.2,76385.98,Automático,Híbrido
137.1,30.0,38.3,51561.5,Manual,Gasolina
291.9,28.8,32.0,107960.29,Automático,Flex
208.4,30.0,37.5,81375.29,Automático,Diesel
108.5,30.0,38.0,43462.56,Automático,Flex
219.4,30.0,38.9,79789.9,Manual,Flex
121.5,30.0,36.0,70182.91,Manual,Gasolina
227.2,30.0,37.6,101100.04,Automático,Gasolina
249.5,30.0,36.1,103889.8,Automático,Gasolina
130.8,30.0,37.9,50602.67,Manual,Híbrido
237.8,30.0,36.2,87513.36,Automático,Gasolina
204.8,30.0,36.9,75368.38,Automático,Flex
229.3,30.0,36.0,96137.87,Automático,Flex
293.8,27.5,35.4,133252.47,Manual,Gasolina
165.3,30.0,38.8,66477.44,Automático,Flex
134.8,30.0,37.1,51440.11,Manual,Flex
126.6,30.0,37.6,54502.65,Automático,Diesel
131.1,30.0,35.3,53157.86,Automático,Flex
175.4,30.0,37.1,69078.1,Automático,Flex
200.5,30.0,37.4,82875.11,Automático,Gasolina
196.6,30.0,41.4,84494.49,Automático,Híbrido
229.6,30.0,35.8,84542.97,Automático,Gasolina
180.8,30.0,39.7,66635.43,Automático,Flex
267.2,30.0,39.0,148250.41,Manual,Gasolina
164.1,30.0,37.9,63091.35,Manual,Híbrido
343.2,30.0,40.1,123676.89,Automático,Flex
217.5,30.0,38.1,81244.69,Automático,Flex
128.6,30.0,38.1,48397.06,Automático,Gasolina
115.7,30.0,37.4,48483.95,Automático,Flex
208.9,30.0,39.3,92347.12,Manual,Flex
166.6,30.0,39.1,65481.31,Automático,Flex
222.8,30.0,36.6,86867.18,Automático,Gasolina
208.4,30.0,35.5,87195.36,Manual,Híbrido
175.6,30.0,37.2,71581.55,Automático,Diesel
129.2,30.0,36.3,67982.26,Automático,Gasolina
89.1,30.0,37.4,54290.03,Automático,Diesel
153.2,30.0,39.4,56722.79,Automático,Flex
231.4,30.0,36.8,99037.24,Automático,Flex
192.8,30.0,37.4,76671.42,Manual,Gasolina
105.3,30.0,37.6,84794.16,Manual,Flex
190.4,30.0,38.8,76238.41,Automático,Flex
203.1,30.0,34.1,117440.0,Manual,Flex
127.0,30.0,36.6,61486.4,Automático,Flex
189.2,30.0,37.8,72086.46,Manual,Flex
183.5,30.0,39.3,74952.84,Automático,Flex
111.4,30.0,36.8,90451.76,Manual,Gasolina
201.5,30.0,34.7,92999.82,Manual,Diesel
213.6,30.0,38.4,78800.87,Automático,Flex
245.0,30.0,36.5,100998.49,Manual,Gasolina
243.2,30.0,35.7,92369.9,Manual,Gasolina
97.3,30.0,36.6,37139.01,Manual,Flex
123.7,30.0,37.2,51472.12,Automático,Diesel
210.9,30.0,36.6,79491.33,Manual,Gasolina
210.8,30.0,34.2,93874.87,Manual,Flex
210.9,30.0,38.8,80930.79,Automático,Gasolina
411.2,23.7,31.5,167006.59,Manual,Flex
214.3,30.0,38.5,77994.68,Automático,Híbrido
248.1,30.0,35.8,93525.96,Automático,Flex
237.2,30.0,37.2,88793.75,Automático,Gasolina
219.1,30.0,37.5,82339.3,Automático,Flex
161.1,30.0,38.4,60085.57,Automático,Gasolina
225.5,30.0,38.5,84010.12,Automático,Flex
133.6,30.0,36.4,57879.84,Manual,Flex
165.8,30.0,37.6,64470.9,Automático,Flex
150.9,30.0,38.2,61209.82,Automático,Gasolina
184.9,30.0,39.7,72449.31,Automático,Híbrido
318.9,30.0,38.6,135474.9,Automático,Flex
75.0,30.0,38.7,52820.31,Manual,Gasolina
221.2,30.0,37.6,87203.06,Automático,Flex
83.2,30.0,39.6,36140.07,Manual,Flex
151.7,30.0,38.1,57218.89,Automático,Flex
245.3,26.8,32.3,120796.5,Automático,Flex
183.9,30.0,39.6,67971.05,Automático,Flex
115.3,30.0,38.5,46900.6,Automático,Gasolina
137.1,30.0,36.8,54517.78,Automático,Diesel
220.8,30.0,36.8,84134.08,Automático,Flex
136.2,30.0,37.9,52457.0,Automático,Gasolina
193.0,30.0,38.2,85831.65,Manual,Flex
182.7,30.0,37.8,68263.77,Automático,Híbrido
140.9,30.0,38.0,62392.41,Automático,Híbrido
308.6,29.1,38.9,112718.24,Automático,Gasolina
218.0,30.0,39.1,80043.77,Automático,Gasolina
75.0,30.0,37.8,53266.27,Manual,Flex
191.2,30.0,38.9,72024.34,Automático,Gasolina
140.3,30.0,36.0,69320.16,Automático,Híbrido
231.1,30.0,38.1,91767.57,Manual,Gasolina
132.4,30.0,40.2,50167.61,Automático,Gasolina
173.1,30.0,37.2,94701.56,Automático,Flex
210.3,30.0,36.2,79441.12,Automático,Gasolina
231.9,29.5,35.9,104011.79,Automático,Flex
108.0,30.0,35.9,42642.74,Manual,Flex
159.9,30.0,36.3,78213.05,Manual,Gasolina
151.5,30.0,36.9,56159.32,Manual,Gasolina
140.8,30.0,35.4,59449.99,Automático,Flex
285.9,30.0,37.5,117747.09,Automático,Gasolina
204.3,30.0,38.9,101806.89,Manual,Flex
104.3,30.0,36.1,63512.63,Automático,Flex
235.1,30.0,39.8,102402.27,Automático,Flex
307.3,30.0,38.3,132474.94,Automático,Híbrido
241.9,30.0,39.0,89903.46,Automático,Híbrido
88.8,30.0,36.5,37436.56,Automático,Híbrido
150.9,30.0,38.8,59241.47,Manual,Gasolina
256.0,30.0,35.9,97338.09,Manual,Gasolina
137.5,30.0,38.8,56136.49,Automático,Gasolina
206.6,30.0,37.8,83185.02,Automático,Diesel
226.5,30.0,38.3,84009.42,Automático,Híbrido
124.4,30.0,35.7,58286.59,Manual,Diesel
176.4,30.0,36.2,66583.99,Automático,Gasolina
75.0,30.0,38.4,32965.11,Manual,Híbrido
118.5,30.0,36.1,51486.46,Automático,Flex
164.8,30.0,38.2,76614.04,Automático,Gasolina
105.1,30.0,35.4,53246.9,Automático,Flex
277.9,30.0,38.8,110652.08,Manual,Gasolina
94.2,30.0,35.7,37660.37,Automático,Flex
153.6,30.0,38.3,64678.7,Automático,Gasolina
187.8,30.0,38.4,69660.64,Automático,Flex
266.5,30.0,36.5,101004.66,Manual,Flex
93.8,30.0,38.4,41183.0,Manual,Diesel
249.8,30.0,37.9,90832.69,Automático,Flex
180.6,30.0,36.7,69416.78,Manual,Flex
121.1,30.0,36.0,76544.62,Automático,Diesel
207.7,30.0,34.6,106415.76,Automático,Híbrido
191.9,30.0,38.0,74523.95,Automático,Gasolina
144.0,30.0,35.2,53836.01,Automático,Flex
184.2,30.0,37.6,69439.32,Manual,Gasolina
156.9,30.0,37.1,62887.8,Manual,Gasolina
186.8,30.0,38.5,97906.7,Automático,Flex
219.7,30.0,37.0,81426.93,Automático,Diesel
275.2,30.0,37.0,113725.09,Manual,Gasolina
105.7,30.0,38.6,41156.42,Manual,Diesel
308.0,30.0,38.0,150563.36,Automático,Diesel
75.0,30.0,38.0,34056.46,Manual,Híbrido
170.9,30.0,38.2,77739.49,Automático,Gasolina
215.3,29.0,33.9,82968.1,Automático,Híbrido
196.9,30.0,38.6,81780.55,Manual,Gasolina
142.6,30.0,38.4,55055.44,Automático,Flex
167.5,30.0,36.0,63207.92,Automático,Gasolina
150.4,30.0,37.1,83463.54,Automático,Gasolina
144.6,30.0,37.4,78590.78,Manual,Flex
231.0,30.0,37.3,105686.9,Manual,Flex
201.4,30.0,38.0,83317.18,Automático,Gasolina
138.4,30.0,39.6,67965.48,Automático,Gasolina
234.0,30.0,39.1,85606.95,Automático,Flex
198.4,30.0,35.5,76529.8,Automático,Gasolina
228.8,30.0,38.4,86834.55,Automático,Diesel
217.8,30.0,39.5,89318.48,Manual,Gasolina
130.3,30.0,38.1,52991.01,Automático,Gasolina
146.4,30.0,39.1,55843.84,Automático,Gasolina
224.8,30.0,40.5,90768.14,Automático,Flex
216.6,30.0,39.0,95658.52,Automático,Gasolina
178.7,30.0,37.9,70375.73,Manual,Gasolina
187.0,30.0,39.1,69882.61,Automático,Híbrido
256.7,30.0,37.7,95021.09,Automático,Flex
144.5,30.0,37.5,56288.31,Automático,Gasolina
212.8,30.0,37.0,81054.33,Automático,Flex
167.9,30.0,39.8,72048.41,Automático,Diesel
166.9,30.0,36.3,70615.27,Automático,Gasolina
245.9,30.0,39.8,100984.22,Automático,Gasolina
229.5,30.0,38.2,87835.78,Automático,Flex
228.8,28.0,32.9,101272.34,Automático,Flex
258.3,30.0,38.1,95697.72,Automático,Flex
181.3,30.0,34.3,72771.78,Manual,Gasolina
220.9,30.0,38.4,96462.44,Automático,Gasolina
161.4,30.0,38.8,61470.84,Automático,Flex
199.4,30.0,36.6,73971.29,Automático,Gasolina
172.2,30.0,37.7,84781.44,Automático,Flex
185.8,30.0,40.4,72236.56,Manual,Flex
215.7,30.0,36.7,90014.32,Automático,Gasolina
130.9,30.0,35.9,49074.12,Manual,Híbrido
305.5,26.8,35.8,122915.67,Automático,Diesel
119.6,30.0,40.4,48673.09,Automático,Flex
107.1,30.0,37.5,41075.59,Manual,Gasolina
249.5,30.0,39.0,99731.61,Automático,Gasolina
227.5,30.0,39.5,85379.87,Automático,Flex
217.4,30.0,36.4,83997.28,Automático,Gasolina
217.7,30.0,36.8,80035.39,Manual,Híbrido
179.3,30.0,39.3,67334.69,Automático,Gasolina
126.2,30.0,40.0,50695.55,Manual,Flex
184.5,30.0,38.3,68532.36,Automático,Gasolina
139.4,30.0,36.2,75951.29,Manual,Flex
238.5,30.0,40.5,86538.17,Automático,Gasolina
171.2,30.0,36.7,69525.57,Manual,Flex
130.5,30.0,37.0,49979.86,Automático,Gasolina
160.7,30.0,38.0,62927.95,Manual,Diesel
204.8,30.0,39.8,100716.51,Automático,Gasolina
146.2,29.1,37.6,56295.76,Automático,Híbrido
130.7,30.0,38.1,82498.12,Automático,Diesel
194.6,30.0,38.2,73421.56,Automático,Gasolina
194.7,30.0,37.6,84675.45,Automático,Flex
149.6,30.0,38.3,63265.7,Manual,Gasolina
151.7,30.0,33.7,77691.2,Manual,Híbrido
193.9,30.0,37.1,78947.26,Automático,Flex
93.1,30.0,37.9,43237.93,Manual,Gasolina
95.6,30.0,35.8,38618.08,Automático,Gasolina
136.9,30.0,38.1,52730.64,Automático,Gasolina
167.2,30.0,37.2,86345.4,Manual,Híbrido
198.7,30.0,40.1,76501.62,Automático,Gasolina
268.5,30.0,39.9,101635.94,Manual,Flex
231.5,30.0,36.8,98274.67,Automático,Flex
170.4,30.0,37.3,66778.64,Automático,Híbrido
178.9,30.0,37.4,95979.22,Automático,Gasolina
119.8,30.0,36.8,58338.23,Automático,Flex
178.9,30.0,37.8,74710.07,Automático,Flex
162.7,30.0,36.4,81215.68,Manual,Flex
199.4,30.0,35.8,73285.88,Manual,Gasolina
130.4,30.0,38.4,51599.59,Manual,Gasolina
211.2,30.0,38.4,83161.84,Automático,Gasolina
272.0,29.2,35.2,101097.94,Automático,Flex
173.5,29.1,37.7,77716.69,Automático,Gasolina
204.1,30.0,36.6,99594.72,Automático,Flex
221.4,30.0,37.9,86005.51,Automático,Gasolina
155.9,30.0,38.7,61761.89,Manual,Diesel
193.4,30.0,37.4,103290.1,Automático,Híbrido
180.8,30.0,38.2,72149.65,Automático,Flex
185.9,30.0,36.7,74766.0,Automático,Gasolina
133.6,30.0,37.2,54100.04,Automático,Gasolina
181.5,30.0,37.2,90544.13,Automático,Gasolina
209.9,30.0,36.4,84873.4,Manual,Gasolina
267.1,30.0,37.2,110836.2,Automático,Flex
237.6,29.1,34.0,103226.57,Manual,Flex
309.2,30.0,36.8,115400.04,Automático,Híbrido
134.0,30.0,37.1,55571.91,Automático,Gasolina
232.3,28.5,35.3,103773.51,Automático,Flex
191.0,30.0,37.1,74364.05,Manual,Flex
311.4,27.2,33.9,128890.78,Manual,Flex
131.5,30.0,38.2,77326.61,Automático,Gasolina
129.6,30.0,38.8,58126.52,Automático,Flex
144.0,30.0,36.5,66946.28,Automático,Flex
75.0,30.0,35.7,45602.55,Automático,Flex
148.5,30.0,35.9,73605.0,Manual,Híbrido
134.5,30.0,36.8,55084.36,Automático,Gasolina
189.0,30.0,37.0,69684.51,Automático,Gasolina
200.5,30.0,36.3,78316.45,Automático,Flex
292.6,29.3,34.6,116892.53,Automático,Flex
237.0,30.0,36.8,91943.64,Automático,Gasolina
145.4,30.0,37.8,67706.58,Automático,Flex
126.1,30.0,38.4,51549.12,Manual,Híbrido
209.5,25.8,31.4,88097.8,Manual,Híbrido
100.8,30.0,36.9,40338.21,Automático,Gasolina
289.9,30.0,36.1,118298.39,Manual,Diesel
250.8,25.4,31.7,100508.98,Automático,Flex
151.8,30.0,36.2,58429.68,Automático,Flex
77.2,30.0,38.4,33476.03,Automático,Flex
261.2,30.0,34.8,108238.77,Automático,Diesel
173.1,30.0,37.0,70184.08,Automático,Flex
254.3,30.0,38.0,94428.01,Automático,Gasolina
84.3,30.0,37.8,66712.01,Automático,Flex
144.0,30.0,41.5,65970.17,Manual,Flex
180.3,30.0,38.0,97607.07,Automático,Gasolina
182.8,30.0,36.0,72557.12,Automático,Híbrido
153.0,30.0,37.4,62994.11,Automático,Flex
217.4,30.0,34.8,101903.28,Automático,Flex
115.9,30.0,37.4,51025.41,Automático,Gasolina
171.5,30.0,36.3,75295.38,Manual,Flex
187.2,30.0,38.9,71432.04,Automático,Gasolina
210.9,30.0,36.7,82722.24,Automático,Gasolina
222.7,30.0,37.3,82261.53,Automático,Flex
112.5,30.0,36.5,44688.98,Automático,Flex
88.0,30.0,40.1,33793.04,Automático,Flex
256.7,30.0,37.0,93231.78,Automático,Gasolina
199.9,30.0,40.2,110825.37,Automático,Flex
135.1,30.0,38.7,53057.17,Automático,Gasolina
273.1,30.0,38.2,109460.14,Automático,Híbrido
186.9,30.0,38.1,86698.87,Manual,Flex
250.8,30.0,38.1,98765.01,Automático,Flex
184.1,30.0,34.6,69080.14,Manual,Gasolina
303.6,30.0,37.1,122299.52,Manual,Gasolina
285.3,26.4,34.3,113463.69,Automático,Híbrido
165.1,30.0,37.4,73911.51,Automático,Gasolina
238.3,30.0,35.4,101088.74,Automático,Flex
218.7,30.0,37.4,116607.2,Automático,Flex
262.1,30.0,40.1,103264.18,Automático,Gasolina
122.1,30.0,39.4,49916.66,Manual,Diesel
221.2,30.0,37.4,90861.53,Manual,Flex
243.5,30.0,38.9,88935.87,Automático,Gasolina
75.0,30.0,37.0,52018.91,Automático,Gasolina
109.0,30.0,34.9,42422.87,Automático,Gasolina
75.0,30.0,36.1,33222.63,Manual,Diesel
163.8,30.0,39.8,77256.82,Automático,Flex
223.1,30.0,37.1,90164.33,Automático,Gasolina
270.1,30.0,37.1,102552.24,Manual,Gasolina
184.4,30.0,37.1,73969.81,Automático,Flex
277.7,28.2,38.2,120180.46,Manual,Flex
97.2,30.0,39.9,41173.09,Automático,Flex
77.8,30.0,40.8,50604.27,Automático,Gasolina
176.7,30.0,37.3,65756.13,Manual,Gasolina
203.0,30.0,37.9,89062.17,Automático,Flex
178.0,30.0,35.2,84122.44,Automático,Híbrido
75.0,30.0,39.7,31256.7,Automático,Gasolina
174.7,30.0,35.7,69755.75,Automático,Flex
101.7,30.0,37.8,40415.36,Automático,Flex
220.2,30.0,35.9,92325.45,Automático,Flex
202.0,30.0,36.6,81363.22,Automático,Gasolina
123.6,30.0,36.2,56349.97,Automático,Diesel
149.2,30.0,36.6,57396.41,Manual,Flex
116.4,30.0,36.7,46135.86,Manual,Flex
176.2,30.0,36.7,65107.57,Automático,Gasolina
237.3,30.0,38.8,89945.06,Automático,Gasolina
120.9,30.0,35.8,53503.76,Automático,Gasolina
210.2,30.0,37.8,96099.68,Automático,Flex
148.2,30.0,39.3,65858.54,Manual,Gasolina
132.4,30.0,36.7,55065.98,Manual,Flex
173.6,30.0,36.4,94354.03,Automático,Gasolina
117.9,30.0,37.2,56962.65,Automático,Flex
146.8,30.0,39.3,80989.59,Automático,Flex
108.1,30.0,37.8,48343.6,Automático,Gasolina
297.9,30.0,36.7,110255.48,Automático,Gasolina
182.1,30.0,38.2,67283.27,Manual,Gasolina
138.0,30.0,35.8,64255.13,Manual,Flex
192.8,30.0,38.5,71786.73,Automático,Flex
173.3,30.0,38.1,67247.58,Automático,Gasolina
166.7,30.0,37.0,68962.58,Manual,Flex
216.9,30.0,36.2,87208.19,Automático,Gasolina
225.5,30.0,36.2,91085.16,Automático,Gasolina
148.2,30.0,38.3,56677.76,Automático,Gasolina
145.5,30.0,39.3,58683.94,Manual,Diesel
163.5,30.0,36.5,69826.19,Automático,Gasolina
75.0,30.0,38.2,64255.38,Automático,Gasolina
89.1,30.0,34.4,47186.97,Manual,Gasolina
262.0,29.1,35.5,120639.67,Manual,Gasolina
278.7,30.0,37.5,114908.08,Manual,Flex
165.1,30.0,36.1,69728.19,Automático,Gasolina
214.6,30.0,36.1,80239.92,Automático,Gasolina
198.7,30.0,36.5,83522.95,Manual,Flex
364.7,29.8,37.6,140518.35,Manual,Gasolina
247.2,30.0,37.2,98735.9,Automático,Flex
172.3,30.0,34.1,70042.98,Automático,Flex
122.7,30.0,34.3,53455.33,Manual,Gasolina
83.6,30.0,36.6,36335.93,Manual,Flex
192.2,30.0,38.2,77598.12,Automático,Gasolina
134.6,30.0,33.4,52317.57,Automático,Flex
94.7,30.0,36.8,52489.18,Automático,Flex
141.2,30.0,36.7,54477.18,Automático,Gasolina
115.1,30.0,39.6,44175.44,Automático,Flex
281.2,30.0,36.9,107161.35,Automático,Diesel
232.9,30.0,38.1,95252.87,Automático,Híbrido
179.5,30.0,37.7,71590.07,Automático,Flex
268.8,30.0,34.3,100318.89,Automático,Flex
184.6,30.0,38.7,75793.06,Manual,Gasolina
128.3,30.0,37.8,52174.85,Automático,Gasolina
271.4,30.0,38.3,124996.5,Automático,Flex
212.3,30.0,43.4,102910.63,Manual,Gasolina
117.8,30.0,34.4,51196.85,Automático,Híbrido
168.6,30.0,40.1,65976.13,Manual,Gasolina
127.5,30.0,37.1,60973.07,Manual,Gasolina
97.0,30.0,37.9,37335.24,Automático,Gasolina
235.6,30.0,37.4,91888.9,Manual,Diesel
294.6,30.0,36.9,110197.35,Automático,Flex
96.1,30.0,36.6,61954.58,Automático,Flex
213.8,30.0,38.0,77943.11,Automático,Gasolina
141.0,30.0,35.2,60384.33,Automático,Diesel
150.8,30.0,38.6,69266.66,Manual,Gasolina
144.5,30.0,36.9,60195.96,Automático,Diesel
128.2,30.0,35.8,48748.91,Automático,Flex
182.9,30.0,36.8,102940.62,Automático,Gasolina
130.1,30.0,39.4,55848.38,Automático,Flex
196.2,30.0,36.7,81203.6,Automático,Flex
177.0,30.0,38.0,67644.86,Automático,Gasolina
165.7,30.0,36.4,67588.85,Manual,Diesel
125.5,30.0,38.6,52547.44,Automático,Flex
145.4,30.0,38.5,54666.29,Manual,Gasolina
225.3,30.0,40.3,82985.5,Automático,Gasolina
210.1,30.0,37.2,94688.34,Manual,Flex
121.3,30.0,38.5,48213.34,Manual,Flex
186.0,30.0,37.6,70254.59,Automático,Flex
225.1,30.0,39.4,88809.32,Automático,Flex
79.8,30.0,36.4,45584.92,Manual,Flex
212.6,30.0,38.6,78050.05,Automático,Híbrido
140.2,30.0,37.2,60684.19,Manual,Flex
214.2,30.0,37.4,79251.94,Automático,Diesel
134.2,30.0,37.6,50342.98,Automático,Gasolina
75.0,30.0,37.9,29791.86,Automático,Gasolina
82.3,30.0,37.3,49789.17,Manual,Gasolina
182.9,30.0,37.8,68265.1,Automático,Flex
195.6,30.0,39.9,71916.2,Manual,Diesel
125.7,30.0,39.0,52770.1,Manual,Gasolina
218.3,30.0,38.8,97989.02,Automático,Gasolina
80.3,30.0,36.8,34151.73,Automático,Diesel
